model,AIC,BIC
"SARIMA (0, 1, 2)(3, 1, 0)[12]",4490.818427,4511.042255
"SARIMA (0, 1, 2)(3, 1, 1)[12]",4486.030951,4509.625417
"SARIMA (0, 1, 2)(3, 1, 2)[12]",4484.397687,4511.362792
"SARIMA (0, 1, 2)(3, 1, 3)[12]",4486.356665,4516.692407
"SARIMA (0, 1, 3)(0, 0, 0)[12]",4881.826512,4895.526312
"SARIMA (0, 1, 3)(0, 0, 1)[12]",4808.529584,4825.654334
"SARIMA (0, 1, 3)(0, 0, 2)[12]",4822.478344,4843.028045
"SARIMA (0, 1, 3)(0, 0, 3)[12]",4811.456251,4835.430901
"SARIMA (0, 1, 3)(0, 1, 0)[12]",4541.697409,4555.179961
"SARIMA (0, 1, 3)(0, 1, 1)[12]",4479.550163,4496.403353
"SARIMA (0, 1, 3)(0, 1, 2)[12]",4481.523912,4501.74774
"SARIMA (0, 1, 3)(0, 1, 3)[12]",4482.692541,4506.287008
"SARIMA (0, 1, 3)(1, 0, 0)[12]",4804.192269,4821.31702
"SARIMA (0, 1, 3)(1, 0, 1)[12]",4694.689847,4715.239547
"SARIMA (0, 1, 3)(1, 0, 2)[12]",4749.696492,4773.671142
"SARIMA (0, 1, 3)(1, 0, 3)[12]",4702.374396,4729.773996
"SARIMA (0, 1, 3)(1, 1, 0)[12]",4509.011889,4525.865079
"SARIMA (0, 1, 3)(1, 1, 1)[12]",4481.52888,4501.752708
"SARIMA (0, 1, 3)(1, 1, 2)[12]",4480.830896,4504.425362
"SARIMA (0, 1, 3)(1, 1, 3)[12]",4481.015496,4507.9806
"SARIMA (0, 1, 3)(2, 0, 0)[12]",4735.601915,4756.151615
"SARIMA (0, 1, 3)(2, 0, 1)[12]",4698.34786,4722.322511
"SARIMA (0, 1, 3)(2, 0, 2)[12]",4754.229571,4781.629171
"SARIMA (0, 1, 3)(2, 0, 3)[12]",4789.119083,4819.943633
"SARIMA (0, 1, 3)(2, 1, 0)[12]",4465.48092,4485.704748
"SARIMA (0, 1, 3)(2, 1, 1)[12]",4482.55248,4506.146946
"SARIMA (0, 1, 3)(2, 1, 2)[12]",4480.398972,4507.364077
"SARIMA (0, 1, 3)(2, 1, 3)[12]",4471.707109,4502.042851
"SARIMA (0, 1, 3)(3, 0, 0)[12]",4790.378695,4814.353345
"SARIMA (0, 1, 3)(3, 0, 1)[12]",4733.748332,4761.147932
"SARIMA (0, 1, 3)(3, 0, 2)[12]",4722.376911,4753.201461
"SARIMA (0, 1, 3)(3, 0, 3)[12]",4789.974588,4824.224088
"SARIMA (0, 1, 3)(3, 1, 0)[12]",4487.048851,4510.643317
"SARIMA (0, 1, 3)(3, 1, 1)[12]",4482.74468,4509.709784
"SARIMA (0, 1, 3)(3, 1, 2)[12]",4481.824937,4512.160679
"SARIMA (0, 1, 3)(3, 1, 3)[12]",4483.293349,4516.99973
"SARIMA (1, 0, 0)(0, 0, 0)[12]",4954.134449,4960.993141
"SARIMA (1, 0, 0)(0, 0, 1)[12]",4882.482154,4892.770191
"SARIMA (1, 0, 0)(0, 0, 2)[12]",4871.563552,4885.280935
"SARIMA (1, 0, 0)(0, 0, 3)[12]",4855.574332,4872.72106
"SARIMA (1, 0, 0)(0, 1, 0)[12]",4560.327917,4567.078474
"SARIMA (1, 0, 0)(0, 1, 1)[12]",4462.232747,4472.358583
"SARIMA (1, 0, 0)(0, 1, 2)[12]",4487.495525,4500.996639
"SARIMA (1, 0, 0)(0, 1, 3)[12]",4488.605388,4505.48178
"SARIMA (1, 0, 0)(1, 0, 0)[12]",4845.034516,4855.322553
"SARIMA (1, 0, 0)(1, 0, 1)[12]",4712.699388,4726.416771
"SARIMA (1, 0, 0)(1, 0, 2)[12]",4823.261999,4840.408727
"SARIMA (1, 0, 0)(1, 0, 3)[12]",4715.940381,4736.516455
"SARIMA (1, 0, 0)(1, 1, 0)[12]",4518.6001,4528.725935
"SARIMA (1, 0, 0)(1, 1, 1)[12]",4463.122514,4476.623628
"SARIMA (1, 0, 0)(1, 1, 2)[12]",4459.374414,4476.250806
"SARIMA (1, 0, 0)(1, 1, 3)[12]",4486.352547,4506.604218
"SARIMA (1, 0, 0)(2, 0, 0)[12]",4834.36155,4848.078933
"SARIMA (1, 0, 0)(2, 0, 1)[12]",4714.355242,4731.50197
"SARIMA (1, 0, 0)(2, 0, 2)[12]",4718.593066,4739.16914
"SARIMA (1, 0, 0)(2, 0, 3)[12]",4735.946296,4759.951715
