model,AIC,BIC
"SARIMA (2, 1, 2)(0, 0, 0)[12]",4860.670003,4877.794753
"SARIMA (2, 1, 2)(0, 0, 1)[12]",4827.279159,4847.828859
"SARIMA (2, 1, 2)(0, 0, 2)[12]",4823.10736,4847.08201
"SARIMA (2, 1, 2)(0, 0, 3)[12]",4811.339622,4838.739222
"SARIMA (2, 1, 2)(0, 1, 0)[12]",4540.084854,4556.938044
"SARIMA (2, 1, 2)(0, 1, 1)[12]",4452.485434,4472.709262
"SARIMA (2, 1, 2)(0, 1, 2)[12]",4482.205229,4505.799695
"SARIMA (2, 1, 2)(0, 1, 3)[12]",4467.726776,4494.69188
"SARIMA (2, 1, 2)(1, 0, 0)[12]",4757.461178,4778.010878
"SARIMA (2, 1, 2)(1, 0, 1)[12]",4797.434291,4821.408941
"SARIMA (2, 1, 2)(1, 0, 2)[12]",4789.224565,4816.624165
"SARIMA (2, 1, 2)(1, 0, 3)[12]",4790.841968,4821.666518
"SARIMA (2, 1, 2)(1, 1, 0)[12]",4509.470018,4529.693847
"SARIMA (2, 1, 2)(1, 1, 1)[12]",4482.20913,4505.803597
"SARIMA (2, 1, 2)(1, 1, 2)[12]",4481.387685,4508.352789
"SARIMA (2, 1, 2)(1, 1, 3)[12]",4481.367785,4511.703527
"SARIMA (2, 1, 2)(2, 0, 0)[12]",4793.377557,4817.352207
"SARIMA (2, 1, 2)(2, 0, 1)[12]",4789.235939,4816.635539
"SARIMA (2, 1, 2)(2, 0, 2)[12]",4789.819564,4820.644114
"SARIMA (2, 1, 2)(2, 0, 3)[12]",4791.540418,4825.789918
"SARIMA (2, 1, 2)(2, 1, 0)[12]",4487.465725,4511.060192
"SARIMA (2, 1, 2)(2, 1, 1)[12]",4483.051375,4510.01648
"SARIMA (2, 1, 2)(2, 1, 2)[12]",4480.741107,4511.076849
"SARIMA (2, 1, 2)(2, 1, 3)[12]",4481.111308,4514.817689
"SARIMA (2, 1, 2)(3, 0, 0)[12]",4791.429706,4818.829306
"SARIMA (2, 1, 2)(3, 0, 1)[12]",4791.004475,4821.829025
"SARIMA (2, 1, 2)(3, 0, 2)[12]",4791.485242,4825.734743
"SARIMA (2, 1, 2)(3, 0, 3)[12]",4792.705801,4830.380251
"SARIMA (2, 1, 2)(3, 1, 0)[12]",4487.854793,4514.819897
"SARIMA (2, 1, 2)(3, 1, 1)[12]",4483.414297,4513.75004
"SARIMA (2, 1, 2)(3, 1, 2)[12]",4482.290727,4515.997107
"SARIMA (2, 1, 2)(3, 1, 3)[12]",4484.04271,4521.119728
"SARIMA (2, 1, 3)(0, 0, 0)[12]",4875.842194,4896.391894
"SARIMA (2, 1, 3)(0, 0, 1)[12]",4820.643412,4844.618062
"SARIMA (2, 1, 3)(0, 0, 2)[12]",4810.331306,4837.730906
"SARIMA (2, 1, 3)(0, 0, 3)[12]",4797.608006,4828.432556
"SARIMA (2, 1, 3)(0, 1, 0)[12]",4543.72626,4563.950088
"SARIMA (2, 1, 3)(0, 1, 1)[12]",4481.731778,4505.326244
"SARIMA (2, 1, 3)(0, 1, 2)[12]",4483.749735,4510.714839
"SARIMA (2, 1, 3)(0, 1, 3)[12]",4484.940341,4515.276084
"SARIMA (2, 1, 3)(1, 0, 0)[12]",4789.685282,4813.659932
"SARIMA (2, 1, 3)(1, 0, 1)[12]",4702.122104,4729.521704
"SARIMA (2, 1, 3)(1, 0, 2)[12]",4767.189889,4798.014439
"SARIMA (2, 1, 3)(1, 0, 3)[12]",4768.789021,4803.038521
"SARIMA (2, 1, 3)(1, 1, 0)[12]",4511.301335,4534.895801
"SARIMA (2, 1, 3)(1, 1, 1)[12]",4483.743313,4510.708417
"SARIMA (2, 1, 3)(1, 1, 2)[12]",4482.696573,4513.032315
"SARIMA (2, 1, 3)(1, 1, 3)[12]",4483.319672,4517.026052
"SARIMA (2, 1, 3)(2, 0, 0)[12]",4780.127855,4807.527455
"SARIMA (2, 1, 3)(2, 0, 1)[12]",4767.171578,4797.996129
"SARIMA (2, 1, 3)(2, 0, 2)[12]",4767.557723,4801.807223
"SARIMA (2, 1, 3)(2, 0, 3)[12]",4769.188406,4806.862856
"SARIMA (2, 1, 3)(2, 1, 0)[12]",4489.464622,4516.429726
"SARIMA (2, 1, 3)(2, 1, 1)[12]",4485.245505,4515.581247
"SARIMA (2, 1, 3)(2, 1, 2)[12]",4482.778497,4516.484878
"SARIMA (2, 1, 3)(2, 1, 3)[12]",4483.081296,4520.158314
"SARIMA (2, 1, 3)(3, 0, 0)[12]",4772.128312,4802.952863
"SARIMA (2, 1, 3)(3, 0, 1)[12]",4768.953843,4803.203343
"SARIMA (2, 1, 3)(3, 0, 2)[12]",4769.089391,4806.763841
"SARIMA (2, 1, 3)(3, 0, 3)[12]",4769.791743,4810.891144
"SARIMA (2, 1, 3)(3, 1, 0)[12]",4489.853029,4520.188771
"SARIMA (2, 1, 3)(3, 1, 1)[12]",4485.554647,4519.261028
"SARIMA (2, 1, 3)(3, 1, 2)[12]",4484.256317,4521.333336
"SARIMA (2, 1, 3)(3, 1, 3)[12]",4486.236743,4526.684399
"SARIMA (3, 0, 0)(0, 0, 0)[12]",4917.164978,4930.882361
"SARIMA (3, 0, 0)(0, 0, 1)[12]",4857.763503,4874.910232
"SARIMA (3, 0, 0)(0, 0, 2)[12]",4847.900676,4868.476749
"SARIMA (3, 0, 0)(0, 0, 3)[12]",4834.259304,4858.264724
"SARIMA (3, 0, 0)(0, 1, 0)[12]",4554.189392,4567.690506
"SARIMA (3, 0, 0)(0, 1, 1)[12]",4485.464551,4502.340943
"SARIMA (3, 0, 0)(0, 1, 2)[12]",4487.389737,4507.641408
"SARIMA (3, 0, 0)(0, 1, 3)[12]",4488.774486,4512.401435
"SARIMA (3, 0, 0)(1, 0, 0)[12]",4823.672005,4840.818733
"SARIMA (3, 0, 0)(1, 0, 1)[12]",4799.377133,4819.953207
"SARIMA (3, 0, 0)(1, 0, 2)[12]",4718.576812,4742.582231
"SARIMA (3, 0, 0)(1, 0, 3)[12]",4718.615328,4746.050093
"SARIMA (3, 0, 0)(1, 1, 0)[12]",4517.062705,4533.939097
"SARIMA (3, 0, 0)(1, 1, 1)[12]",4487.400777,4507.652447
"SARIMA (3, 0, 0)(1, 1, 2)[12]",4485.862207,4509.489156
"SARIMA (3, 0, 0)(1, 1, 3)[12]",4486.737943,4513.74017
"SARIMA (3, 0, 0)(2, 0, 0)[12]",4813.535084,4834.111158
"SARIMA (3, 0, 0)(2, 0, 1)[12]",4801.291609,4825.297029
"SARIMA (3, 0, 0)(2, 0, 2)[12]",4723.523198,4750.957963
"SARIMA (3, 0, 0)(2, 0, 3)[12]",4803.415485,4834.279595
"SARIMA (3, 0, 0)(2, 1, 0)[12]",4492.880019,4513.13169
"SARIMA (3, 0, 0)(2, 1, 1)[12]",4488.82776,4512.454708
"SARIMA (3, 0, 0)(2, 1, 2)[12]",4486.214149,4513.216377
"SARIMA (3, 0, 0)(2, 1, 3)[12]",4485.73,4516.107506
"SARIMA (3, 0, 0)(3, 0, 0)[12]",4805.860575,4829.865994
"SARIMA (3, 0, 0)(3, 0, 1)[12]",4802.999254,4830.434019
"SARIMA (3, 0, 0)(3, 0, 2)[12]",4803.340765,4834.204875
"SARIMA (3, 0, 0)(3, 0, 3)[12]",4804.240878,4838.534334
"SARIMA (3, 0, 0)(3, 1, 0)[12]",4493.370786,4516.997735
"SARIMA (3, 0, 0)(3, 1, 1)[12]",4488.305796,4515.308023
"SARIMA (3, 0, 0)(3, 1, 2)[12]",4487.123352,4517.500858
"SARIMA (3, 0, 0)(3, 1, 3)[12]",4487.68954,4521.442324
"SARIMA (3, 0, 1)(0, 0, 0)[12]",4919.166434,4936.313162
"SARIMA (3, 0, 1)(0, 0, 1)[12]",4859.505862,4880.081936
"SARIMA (3, 0, 1)(0, 0, 2)[12]",4849.325406,4873.330825
"SARIMA (3, 0, 1)(0, 0, 3)[12]",4836.426439,4863.861204
"SARIMA (3, 0, 1)(0, 1, 0)[12]",4554.995763,4571.872155
"SARIMA (3, 0, 1)(0, 1, 1)[12]",4486.481335,4506.733005
"SARIMA (3, 0, 1)(0, 1, 2)[12]",4488.472591,4512.09954
"SARIMA (3, 0, 1)(0, 1, 3)[12]",4491.170977,4518.173204
"SARIMA (3, 0, 1)(1, 0, 0)[12]",4825.586225,4846.162299
"SARIMA (3, 0, 1)(1, 0, 1)[12]",4800.636852,4824.642271
"SARIMA (3, 0, 1)(1, 0, 2)[12]",4802.519355,4829.95412
"SARIMA (3, 0, 1)(1, 0, 3)[12]",4804.06563,4834.929741
"SARIMA (3, 0, 1)(1, 1, 0)[12]",4519.24817,4539.49984
"SARIMA (3, 0, 1)(1, 1, 1)[12]",4488.47185,4512.098799
"SARIMA (3, 0, 1)(1, 1, 2)[12]",4486.978169,4513.980396
"SARIMA (3, 0, 1)(1, 1, 3)[12]",4489.142517,4519.520023
"SARIMA (3, 0, 1)(2, 0, 0)[12]",4764.233788,4788.239207
"SARIMA (3, 0, 1)(2, 0, 1)[12]",4802.558979,4829.993744
"SARIMA (3, 0, 1)(2, 0, 2)[12]",4802.95148,4833.81559
"SARIMA (3, 0, 1)(2, 0, 3)[12]",4804.587185,4838.880641
"SARIMA (3, 0, 1)(2, 1, 0)[12]",4495.199401,4518.82635
"SARIMA (3, 0, 1)(2, 1, 1)[12]",4491.214849,4518.217076
"SARIMA (3, 0, 1)(2, 1, 2)[12]",4488.615371,4518.992876
"SARIMA (3, 0, 1)(2, 1, 3)[12]",4488.160051,4521.912835
"SARIMA (3, 0, 1)(3, 0, 0)[12]",4808.457367,4835.892132
"SARIMA (3, 0, 1)(3, 0, 1)[12]",4804.252921,4835.117032
"SARIMA (3, 0, 1)(3, 0, 2)[12]",4805.974353,4840.267809
"SARIMA (3, 0, 1)(3, 0, 3)[12]",4806.899998,4844.6228
"SARIMA (3, 0, 1)(3, 1, 0)[12]",4495.135624,4522.137851
"SARIMA (3, 0, 1)(3, 1, 1)[12]",4490.707611,4521.085117
"SARIMA (3, 0, 1)(3, 1, 2)[12]",4489.551104,4523.303888
"SARIMA (3, 0, 1)(3, 1, 3)[12]",4489.913564,4527.041626
"SARIMA (3, 0, 2)(0, 0, 0)[12]",4917.139628,4937.715702
"SARIMA (3, 0, 2)(0, 0, 1)[12]",4860.788916,4884.794335
"SARIMA (3, 0, 2)(0, 0, 2)[12]",4850.474493,4877.909258
"SARIMA (3, 0, 2)(0, 0, 3)[12]",4837.402842,4868.266953
"SARIMA (3, 0, 2)(0, 1, 0)[12]",4557.071305,4577.322976
"SARIMA (3, 0, 2)(0, 1, 1)[12]",4489.412732,4513.039681
"SARIMA (3, 0, 2)(0, 1, 2)[12]",4492.775944,4519.778172
"SARIMA (3, 0, 2)(0, 1, 3)[12]",4492.805356,4523.182861
"SARIMA (3, 0, 2)(1, 0, 0)[12]",4826.475874,4850.481293
"SARIMA (3, 0, 2)(1, 0, 1)[12]",4801.991906,4829.426672
"SARIMA (3, 0, 2)(1, 0, 2)[12]",4804.464591,4835.328701
"SARIMA (3, 0, 2)(1, 0, 3)[12]",4805.994776,4840.288232
"SARIMA (3, 0, 2)(1, 1, 0)[12]",4521.789141,4545.41609
"SARIMA (3, 0, 2)(1, 1, 1)[12]",4491.478815,4518.481042
"SARIMA (3, 0, 2)(1, 1, 2)[12]",4491.337457,4521.714963
"SARIMA (3, 0, 2)(1, 1, 3)[12]",4491.55534,4525.308124
"SARIMA (3, 0, 2)(2, 0, 0)[12]",4816.779005,4844.21377
"SARIMA (3, 0, 2)(2, 0, 1)[12]",4804.477822,4835.341932
"SARIMA (3, 0, 2)(2, 0, 2)[12]",4804.931656,4839.225112
"SARIMA (3, 0, 2)(2, 0, 3)[12]",4806.581397,4844.304199
"SARIMA (3, 0, 2)(2, 1, 0)[12]",4495.103445,4522.105673
"SARIMA (3, 0, 2)(2, 1, 1)[12]",4491.472886,4521.850391
"SARIMA (3, 0, 2)(2, 1, 2)[12]",4490.402034,4524.154818
"SARIMA (3, 0, 2)(2, 1, 3)[12]",4491.293578,4528.421641
"SARIMA (3, 0, 2)(3, 0, 0)[12]",4809.068317,4839.932428
"SARIMA (3, 0, 2)(3, 0, 1)[12]",4806.180349,4840.473805
"SARIMA (3, 0, 2)(3, 0, 2)[12]",4806.50429,4844.227092
"SARIMA (3, 0, 2)(3, 0, 3)[12]",4807.415077,4848.567225
"SARIMA (3, 0, 2)(3, 1, 0)[12]",4494.572082,4524.949587
"SARIMA (3, 0, 2)(3, 1, 1)[12]",4493.723125,4527.475909
"SARIMA (3, 0, 2)(3, 1, 2)[12]",4492.10262,4529.230683
"SARIMA (3, 0, 2)(3, 1, 3)[12]",4493.208781,4533.712122
"SARIMA (3, 0, 3)(0, 0, 0)[12]",4918.808746,4942.814165
"SARIMA (3, 0, 3)(0, 0, 1)[12]",4860.210573,4887.645338
"SARIMA (3, 0, 3)(0, 0, 2)[12]",4847.649177,4878.513287
"SARIMA (3, 0, 3)(0, 0, 3)[12]",4836.657313,4870.95077
"SARIMA (3, 0, 3)(0, 1, 0)[12]",4549.949159,4573.576108
"SARIMA (3, 0, 3)(0, 1, 1)[12]",4491.497842,4518.500069
"SARIMA (3, 0, 3)(0, 1, 2)[12]",4493.537311,4523.914817
"SARIMA (3, 0, 3)(0, 1, 3)[12]",4494.953117,4528.705901
"SARIMA (3, 0, 3)(1, 0, 0)[12]",4826.207393,4853.642158
"SARIMA (3, 0, 3)(1, 0, 1)[12]",4801.253941,4832.118051
"SARIMA (3, 0, 3)(1, 0, 2)[12]",4803.182887,4837.476343
"SARIMA (3, 0, 3)(1, 0, 3)[12]",4806.293543,4844.016345
"SARIMA (3, 0, 3)(1, 1, 0)[12]",4519.447864,4546.450092
"SARIMA (3, 0, 3)(1, 1, 1)[12]",4493.546465,4523.923971
"SARIMA (3, 0, 3)(1, 1, 2)[12]",4492.526251,4526.279035
"SARIMA (3, 0, 3)(1, 1, 3)[12]",4493.183542,4530.311605
"SARIMA (3, 0, 3)(2, 0, 0)[12]",4814.138669,4845.002779
"SARIMA (3, 0, 3)(2, 0, 1)[12]",4803.213162,4837.506619
"SARIMA (3, 0, 3)(2, 0, 2)[12]",4803.775294,4841.498096
"SARIMA (3, 0, 3)(2, 0, 3)[12]",4805.294666,4846.446813
"SARIMA (3, 0, 3)(2, 1, 0)[12]",4499.954517,4530.332023
"SARIMA (3, 0, 3)(2, 1, 1)[12]",4494.894837,4528.647621
"SARIMA (3, 0, 3)(2, 1, 2)[12]",4492.625476,4529.753539
"SARIMA (3, 0, 3)(2, 1, 3)[12]",4492.571501,4533.074842
"SARIMA (3, 0, 3)(3, 0, 0)[12]",4807.671641,4841.965097
"SARIMA (3, 0, 3)(3, 0, 1)[12]",4804.924888,4842.64769
"SARIMA (3, 0, 3)(3, 0, 2)[12]",4805.241659,4846.393806
"SARIMA (3, 0, 3)(3, 0, 3)[12]",4807.654722,4852.236216
"SARIMA (3, 0, 3)(3, 1, 0)[12]",4500.182556,4533.93534
"SARIMA (3, 0, 3)(3, 1, 1)[12]",4494.737645,4531.865708
"SARIMA (3, 0, 3)(3, 1, 2)[12]",4493.790496,4534.293837
"SARIMA (3, 0, 3)(3, 1, 3)[12]",4494.636666,4538.515286
"SARIMA (3, 1, 0)(0, 0, 0)[12]",4921.503642,4935.203442
"SARIMA (3, 1, 0)(0, 0, 1)[12]",4864.492579,4881.61733
"SARIMA (3, 1, 0)(0, 0, 2)[12]",4854.89306,4875.44276
"SARIMA (3, 1, 0)(0, 0, 3)[12]",4841.620101,4865.594751
"SARIMA (3, 1, 0)(0, 1, 0)[12]",4570.576158,4584.05871
"SARIMA (3, 1, 0)(0, 1, 1)[12]",4473.805932,4490.659122
"SARIMA (3, 1, 0)(0, 1, 2)[12]",4499.741015,4519.964844
"SARIMA (3, 1, 0)(0, 1, 3)[12]",4501.035404,4524.62987
"SARIMA (3, 1, 0)(1, 0, 0)[12]",4832.343501,4849.468251
"SARIMA (3, 1, 0)(1, 0, 1)[12]",4806.660312,4827.210012
"SARIMA (3, 1, 0)(1, 0, 2)[12]",4808.640825,4832.615476
"SARIMA (3, 1, 0)(1, 0, 3)[12]",4810.078843,4837.478443
"SARIMA (3, 1, 0)(1, 1, 0)[12]",4531.4297,4548.28289
"SARIMA (3, 1, 0)(1, 1, 1)[12]",4499.741194,4519.965022
"SARIMA (3, 1, 0)(1, 1, 2)[12]",4498.690332,4522.284798
"SARIMA (3, 1, 0)(1, 1, 3)[12]",4499.13403,4526.099134
"SARIMA (3, 1, 0)(2, 0, 0)[12]",4821.783282,4842.332982
"SARIMA (3, 1, 0)(2, 0, 1)[12]",4808.644321,4832.618971
"SARIMA (3, 1, 0)(2, 0, 2)[12]",4733.897272,4761.296872
"SARIMA (3, 1, 0)(2, 0, 3)[12]",4810.713215,4841.537765
"SARIMA (3, 1, 0)(2, 1, 0)[12]",4506.062402,4526.28623
"SARIMA (3, 1, 0)(2, 1, 1)[12]",4500.898219,4524.492685
"SARIMA (3, 1, 0)(2, 1, 2)[12]",4498.572876,4525.53798
"SARIMA (3, 1, 0)(2, 1, 3)[12]",4498.576776,4528.912518
"SARIMA (3, 1, 0)(3, 0, 0)[12]",4813.400892,4837.375542
"SARIMA (3, 1, 0)(3, 0, 1)[12]",4810.259039,4837.65864
"SARIMA (3, 1, 0)(3, 0, 2)[12]",4810.62419,4841.448741
"SARIMA (3, 1, 0)(3, 0, 3)[12]",4811.634596,4845.884096
"SARIMA (3, 1, 0)(3, 1, 0)[12]",4506.014057,4529.608523
"SARIMA (3, 1, 0)(3, 1, 1)[12]",4500.822186,4527.787291
"SARIMA (3, 1, 0)(3, 1, 2)[12]",4499.846111,4530.181853
"SARIMA (3, 1, 0)(3, 1, 3)[12]",4501.521383,4535.227763
"SARIMA (3, 1, 1)(0, 0, 0)[12]",4874.030256,4891.155006
"SARIMA (3, 1, 1)(0, 0, 1)[12]",4834.593695,4855.143395
"SARIMA (3, 1, 1)(0, 0, 2)[12]",4828.986816,4852.961466
"SARIMA (3, 1, 1)(0, 0, 3)[12]",4819.17668,4846.57628
"SARIMA (3, 1, 1)(0, 1, 0)[12]",4544.215663,4561.068854
"SARIMA (3, 1, 1)(0, 1, 1)[12]",4485.50402,4505.727848
"SARIMA (3, 1, 1)(0, 1, 2)[12]",4487.481033,4511.075499
"SARIMA (3, 1, 1)(0, 1, 3)[12]",4453.048218,4480.013322
"SARIMA (3, 1, 1)(1, 0, 0)[12]",4758.254904,4778.804604
"SARIMA (3, 1, 1)(1, 0, 1)[12]",4795.546017,4819.520667
"SARIMA (3, 1, 1)(1, 0, 2)[12]",4797.436588,4824.836188
"SARIMA (3, 1, 1)(1, 0, 3)[12]",4799.078911,4829.903461
"SARIMA (3, 1, 1)(1, 1, 0)[12]",4512.826066,4533.049895
"SARIMA (3, 1, 1)(1, 1, 1)[12]",4487.485802,4511.080268
"SARIMA (3, 1, 1)(1, 1, 2)[12]",4453.995265,4480.960369
"SARIMA (3, 1, 1)(1, 1, 3)[12]",4487.106841,4517.442583
"SARIMA (3, 1, 1)(2, 0, 1)[12]",4797.451707,4824.851307
"SARIMA (3, 1, 1)(2, 0, 2)[12]",4798.136093,4828.960643
"SARIMA (3, 1, 1)(2, 0, 3)[12]",4799.885052,4834.134552
"SARIMA (3, 1, 1)(2, 1, 0)[12]",4492.259604,4515.854071
"SARIMA (3, 1, 1)(2, 1, 1)[12]",4488.44264,4515.407744
"SARIMA (3, 1, 1)(2, 1, 2)[12]",4486.578455,4516.914197
"SARIMA (3, 1, 1)(2, 1, 3)[12]",4487.094441,4520.800821
"SARIMA (3, 1, 1)(3, 0, 0)[12]",4800.820967,4828.220567
"SARIMA (3, 1, 1)(3, 0, 1)[12]",4799.227833,4830.052383
"SARIMA (3, 1, 1)(3, 0, 2)[12]",4799.821939,4834.071439
"SARIMA (3, 1, 1)(3, 0, 3)[12]",4800.951137,4838.625587
"SARIMA (3, 1, 1)(3, 1, 0)[12]",4492.737677,4519.702781
"SARIMA (3, 1, 1)(3, 1, 1)[12]",4488.956769,4519.292511
"SARIMA (3, 1, 1)(3, 1, 2)[12]",4488.15427,4521.86065
"SARIMA (3, 1, 1)(3, 1, 3)[12]",4489.910338,4526.987357
"SARIMA (3, 1, 2)(0, 0, 0)[12]",4872.127012,4892.676712
"SARIMA (3, 1, 2)(0, 0, 1)[12]",4830.685757,4854.660408
"SARIMA (3, 1, 2)(0, 0, 2)[12]",4824.106879,4851.506479
"SARIMA (3, 1, 2)(0, 0, 3)[12]",4814.104112,4844.928662
"SARIMA (3, 1, 2)(0, 1, 0)[12]",4543.009182,4563.23301
"SARIMA (3, 1, 2)(0, 1, 1)[12]",4454.165284,4477.759751
"SARIMA (3, 1, 2)(0, 1, 2)[12]",4452.799041,4479.764145
"SARIMA (3, 1, 2)(0, 1, 3)[12]",4484.40448,4514.740222
"SARIMA (3, 1, 2)(1, 0, 0)[12]",4807.658607,4831.633257
"SARIMA (3, 1, 2)(1, 0, 1)[12]",4788.747199,4816.1468
"SARIMA (3, 1, 2)(1, 0, 2)[12]",4790.660571,4821.485121
"SARIMA (3, 1, 2)(1, 0, 3)[12]",4792.128526,4826.378026
"SARIMA (3, 1, 2)(1, 1, 0)[12]",4511.262142,4534.856608
"SARIMA (3, 1, 2)(1, 1, 1)[12]",4450.975702,4477.940806
"SARIMA (3, 1, 2)(1, 1, 2)[12]",4457.242749,4487.578491
"SARIMA (3, 1, 2)(1, 1, 3)[12]",4455.075547,4488.781927
"SARIMA (3, 1, 2)(2, 0, 0)[12]",4797.805457,4825.205057
"SARIMA (3, 1, 2)(2, 0, 1)[12]",4789.257962,4820.082513
"SARIMA (3, 1, 2)(2, 0, 2)[12]",4791.295105,4825.544606
"SARIMA (3, 1, 2)(2, 0, 3)[12]",4792.969671,4830.644122
"SARIMA (3, 1, 2)(2, 1, 0)[12]",4488.892388,4515.857492
"SARIMA (3, 1, 2)(2, 1, 1)[12]",4484.263821,4514.599563
"SARIMA (3, 1, 2)(2, 1, 2)[12]",4482.173662,4515.880043
"SARIMA (3, 1, 2)(2, 1, 3)[12]",4482.704358,4519.781377
"SARIMA (3, 1, 2)(3, 0, 0)[12]",4719.216369,4750.040919
"SARIMA (3, 1, 2)(3, 0, 1)[12]",4792.410721,4826.660222
"SARIMA (3, 1, 2)(3, 0, 2)[12]",4792.896189,4830.570639
"SARIMA (3, 1, 2)(3, 0, 3)[12]",4793.918979,4835.018379
"SARIMA (3, 1, 2)(3, 1, 0)[12]",4489.152799,4519.488541
"SARIMA (3, 1, 2)(3, 1, 1)[12]",4484.630445,4518.336825
"SARIMA (3, 1, 2)(3, 1, 2)[12]",4483.80325,4520.880269
"SARIMA (3, 1, 2)(3, 1, 3)[12]",4485.554579,4526.002235
"SARIMA (3, 1, 3)(0, 0, 0)[12]",4857.209682,4881.184332
"SARIMA (3, 1, 3)(0, 0, 1)[12]",4815.727826,4843.127426
"SARIMA (3, 1, 3)(0, 0, 2)[12]",4809.394028,4840.218578
"SARIMA (3, 1, 3)(0, 0, 3)[12]",4794.95554,4829.20504
"SARIMA (3, 1, 3)(0, 1, 0)[12]",4539.39349,4562.987956
"SARIMA (3, 1, 3)(0, 1, 1)[12]",4483.52708,4510.492185
"SARIMA (3, 1, 3)(0, 1, 2)[12]",4485.588408,4515.92415
"SARIMA (3, 1, 3)(0, 1, 3)[12]",4486.44023,4520.14661
"SARIMA (3, 1, 3)(1, 0, 0)[12]",4790.060445,4817.460045
"SARIMA (3, 1, 3)(1, 0, 1)[12]",4764.179694,4795.004244
"SARIMA (3, 1, 3)(1, 0, 2)[12]",4766.152041,4800.401541
"SARIMA (3, 1, 3)(1, 0, 3)[12]",4768.977848,4806.652298
"SARIMA (3, 1, 3)(1, 1, 0)[12]",4513.318485,4540.283589
"SARIMA (3, 1, 3)(1, 1, 1)[12]",4485.619557,4515.955299
"SARIMA (3, 1, 3)(1, 1, 2)[12]",4484.770025,4518.476406
"SARIMA (3, 1, 3)(1, 1, 3)[12]",4484.670157,4521.747175
"SARIMA (3, 1, 3)(2, 0, 0)[12]",4780.719936,4811.544486
"SARIMA (3, 1, 3)(2, 0, 1)[12]",4766.155693,4800.405193
"SARIMA (3, 1, 3)(2, 0, 2)[12]",4767.050852,4804.725302
"SARIMA (3, 1, 3)(2, 0, 3)[12]",4769.671192,4810.770592
"SARIMA (3, 1, 3)(2, 1, 0)[12]",4491.236714,4521.572456
"SARIMA (3, 1, 3)(2, 1, 1)[12]",4486.225321,4519.931701
"SARIMA (3, 1, 3)(2, 1, 2)[12]",4484.031975,4521.108993
"SARIMA (3, 1, 3)(2, 1, 3)[12]",4484.580585,4525.028242
"SARIMA (3, 1, 3)(3, 0, 0)[12]",4772.679157,4806.928657
"SARIMA (3, 1, 3)(3, 0, 1)[12]",4769.335777,4807.010227
"SARIMA (3, 1, 3)(3, 0, 2)[12]",4768.043428,4809.142828
"SARIMA (3, 1, 3)(3, 0, 3)[12]",4768.692534,4813.216884
"SARIMA (3, 1, 3)(3, 1, 0)[12]",4491.639753,4525.346133
"SARIMA (3, 1, 3)(3, 1, 1)[12]",4486.642658,4523.719676
"SARIMA (3, 1, 3)(3, 1, 2)[12]",4485.633879,4526.081536
"SARIMA (3, 1, 3)(3, 1, 3)[12]",4487.350502,4531.168797
